"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
145	18.376333	24.292848	201.088995	0.888064	-0.345940	0.302767	-0.095068	-0.782549	-0.615287	0.449782	0.517631	-0.727842
146	22.994769	22.644781	201.981149	0.950405	-0.308684	0.038016	-0.241805	-0.810243	-0.533889	0.195605	0.498218	-0.844700
147	27.732858	21.248592	201.369773	0.926885	-0.246303	-0.283229	-0.357517	-0.809132	-0.466355	-0.114306	0.533516	-0.838030
148	32.092364	20.222718	199.201299	0.797030	-0.157726	-0.582981	-0.435373	-0.819055	-0.373629	-0.418562	0.551607	-0.721481
149	35.512463	19.701992	195.629648	0.556254	-0.048739	-0.829582	-0.486678	-0.828279	-0.277667	-0.673592	0.558193	-0.484453
150	37.580172	19.700826	191.101814	0.272231	0.037439	-0.961503	-0.594312	-0.779324	-0.198613	-0.756759	0.625501	-0.189906
151	38.362813	19.931741	186.178445	0.064625	0.039985	-0.997108	-0.819432	-0.568130	-0.075891	-0.569522	0.821967	-0.003950
152	38.498278	19.994591	181.182023	0.012514	-0.018313	-0.999754	-0.993030	-0.117415	-0.010279	-0.117198	0.992914	-0.019654
153	38.640637	19.784103	176.189310	0.060028	-0.056465	-0.996598	-0.907158	0.413485	-0.078068	0.416487	0.908758	-0.026402
154	39.315741	19.526677	171.248449	0.234483	-0.038374	-0.971362	-0.606768	0.774902	-0.177084	0.759507	0.630915	0.158418
155	41.214035	19.408922	166.649381	0.536022	-0.014536	-0.844079	-0.339726	0.911605	-0.231437	0.772831	0.410811	0.483702
156	44.614266	19.303387	163.023878	0.802489	-0.034838	-0.595649	-0.269574	0.869428	-0.414035	0.532298	0.492830	0.688315
157	48.981844	19.085463	160.625358	0.921344	-0.041088	-0.386571	-0.312745	0.512298	-0.799839	0.230903	0.857825	0.459152
158	53.660835	19.010654	158.868064	0.940792	0.016683	-0.338574	-0.329721	-0.186869	-0.925400	-0.078707	0.982243	-0.170304
159	58.312771	19.203299	157.050185	0.906638	0.047643	-0.419211	-0.245389	-0.748715	-0.615801	-0.343208	0.661178	-0.667122
160	62.472490	19.370665	154.323860	0.722065	0.015120	-0.691660	-0.262435	-0.919051	-0.294063	-0.640117	0.393848	-0.659646
161	65.206480	19.445862	150.188272	0.354092	0.028418	-0.934779	-0.391955	-0.903007	-0.175924	-0.849112	0.428684	-0.308609
162	65.997580	19.754195	145.294477	-0.031954	0.097070	-0.994765	-0.454922	-0.887616	-0.072001	-0.889958	0.450240	0.072522
163	64.928602	20.376813	140.479544	-0.389209	0.144599	-0.909729	-0.401468	-0.915497	0.026245	-0.829059	0.375442	0.414371
164	62.168609	21.099788	136.412757	-0.710951	0.136079	-0.689951	-0.317769	-0.937390	0.142560	-0.627353	0.320598	0.709679
165	58.011531	21.696596	133.758765	-0.924318	0.100830	-0.368063	-0.192278	-0.956147	0.220934	-0.329646	0.274983	0.903171
166	53.155972	22.086347	132.748550	-0.998194	0.050144	-0.033077	-0.053135	-0.993885	0.096792	-0.028021	0.098375	0.994755
167	48.250004	22.071977	133.516903	-0.937035	-0.071205	0.341899	0.040682	-0.994584	-0.095639	0.346857	-0.075708	0.934857
168	44.057504	21.272785	136.050676	-0.722960	-0.248587	0.644618	0.198911	-0.968413	-0.150369	0.661636	0.019511	0.749571
169	41.163911	19.644655	139.748364	-0.423013	-0.385070	0.820232	0.671939	-0.740605	-0.001153	0.607913	0.550658	0.572029
170	39.541750	17.825142	144.105349	-0.294656	-0.309076	0.904240	0.936979	0.092462	0.336928	-0.187744	0.946532	0.262353
171	37.602584	16.558731	148.521231	-0.509896	-0.218933	0.831910	0.476523	0.733254	0.485042	-0.716193	0.643745	-0.269557
172	34.440915	15.533503	152.229999	-0.745940	-0.191432	0.637908	0.203561	0.846437	0.492045	-0.634142	0.496889	-0.592423
173	30.262958	14.671435	154.801070	-0.909402	-0.148699	0.388429	0.175209	0.710035	0.682021	-0.377214	0.688287	-0.619654
174	25.509050	14.131918	156.216902	-0.978304	-0.052917	0.200301	0.178018	0.279839	0.943398	-0.105974	0.958588	-0.264347
175	20.599550	14.305428	157.106718	-0.972884	0.132171	0.189810	0.117303	-0.425321	0.897409	0.199342	0.895340	0.398284
176	15.917467	15.387819	158.438640	-0.887280	0.275926	0.369593	-0.179116	-0.944561	0.275176	0.425031	0.177958	0.887513
177	11.781456	16.657614	160.910596	-0.772449	0.186663	0.607025	-0.569273	-0.627211	-0.531539	0.281514	-0.756150	0.590751
178	8.045117	16.956535	164.195403	-0.743800	-0.074937	0.664189	-0.654073	0.286257	-0.700175	-0.137660	-0.955218	-0.261932
179	4.149623	16.063698	167.176337	-0.829132	-0.251502	0.499287	-0.409915	0.880783	-0.237048	-0.380145	-0.401209	-0.833379
180	-0.297361	14.736054	168.980550	-0.943740	-0.256489	0.208728	-0.208361	0.951354	0.226963	-0.256788	0.170703	-0.951273
181	-5.139702	13.620705	169.150561	-0.970830	-0.188111	-0.148673	-0.232398	0.890811	0.390444	0.058993	0.413606	-0.908543
182	-9.771437	12.855694	167.515299	-0.861373	-0.118867	-0.493870	-0.370209	0.812618	0.450108	0.347825	0.570545	-0.743973
183	-13.635181	12.457527	164.398515	-0.687208	-0.025817	-0.726002	-0.647286	0.475453	0.595790	0.329798	0.879362	-0.343446
184	-16.868978	12.748134	160.605804	-0.644803	0.146246	-0.750228	-0.760141	-0.225539	0.609358	-0.080090	0.963195	0.256596
185	-20.453967	13.807782	157.315345	-0.812540	0.257525	-0.522934	-0.499301	-0.770425	0.396414	-0.300795	0.583203	0.754583
186	-24.958262	15.147994	155.754539	-0.960335	0.269075	-0.073181	-0.278787	-0.920923	0.272359	0.005891	0.281958	0.959409
